Reproducing P1 (m=4, k=4) with seed=12...
    FiberSA it= 100,000 T=1.97524 s=54 best=39 18.2s
    FiberSA it= 200,000 T=1.95077 s=61 best=27 35.6s
    FiberSA it= 300,000 T=1.92660 s=53 best=16 54.6s
    FiberSA it= 400,000 T=1.90275 s=74 best=16 71.5s
    FiberSA it= 500,000 T=1.87920 s=48 best=13 91.5s
    FiberSA it= 600,000 T=1.85594 s=27 best=4 111.9s
    FiberSA it= 700,000 T=1.83296 s=120 best=4 130.1s
    FiberSA it= 900,000 T=1.78783 s=34 best=4 169.3s
    FiberSA it=1,100,000 T=1.74382 s=41 best=4 221.6s
    FiberSA it=1,200,000 T=1.72223 s=25 best=4 240.2s
    FiberSA it=1,300,000 T=1.70088 s=28 best=4 262.1s
    FiberSA it=1,400,000 T=1.67982 s=49 best=4 283.1s
    FiberSA it=1,500,000 T=1.65903 s=72 best=4 303.9s
    FiberSA it=1,600,000 T=1.63851 s=34 best=4 323.9s
    FiberSA it=1,700,000 T=1.61820 s=44 best=4 346.4s
    FiberSA it=1,800,000 T=1.59815 s=37 best=4 366.0s
    FiberSA it=1,900,000 T=1.57836 s=34 best=4 394.0s
    FiberSA it=2,000,000 T=1.55884 s=31 best=4 414.7s
    FiberSA it=2,100,000 T=1.53953 s=22 best=4 438.7s
    FiberSA it=2,200,000 T=1.52045 s=24 best=4 456.7s
    FiberSA it=2,300,000 T=1.50164 s=43 best=4 480.2s
    FiberSA it=2,400,000 T=1.48304 s=24 best=4 498.1s
    FiberSA it=2,500,000 T=1.46466 s=25 best=4 518.1s
    FiberSA it=2,600,000 T=1.44653 s=35 best=4 540.1s
    FiberSA it=2,700,000 T=1.42861 s=29 best=4 560.8s
    FiberSA it=2,800,000 T=1.41090 s=17 best=4 580.5s
    FiberSA it=2,900,000 T=1.39342 s=49 best=4 610.0s
    FiberSA it=3,000,000 T=1.37615 s=26 best=4 640.4s
    FiberSA it=3,100,000 T=1.35912 s=29 best=4 666.1s
    FiberSA it=3,200,000 T=1.34229 s=33 best=4 696.0s
    FiberSA it=3,300,000 T=1.32567 s=21 best=4 718.4s
    FiberSA it=3,400,000 T=1.30924 s=35 best=4 739.1s
    FiberSA it=3,500,000 T=1.29302 s=36 best=4 757.2s
    FiberSA it=3,600,000 T=1.27700 s=47 best=4 779.3s
    FiberSA it=3,700,000 T=1.26119 s=60 best=4 801.0s
    FiberSA it=3,800,000 T=1.24559 s=27 best=4 821.7s
    FiberSA it=3,900,000 T=1.23016 s=19 best=4 842.4s
    FiberSA it=4,000,000 T=1.21494 s=52 best=4 869.8s
    FiberSA it=4,100,000 T=1.19989 s=19 best=4 889.5s
    FiberSA it=4,200,000 T=1.18502 s=26 best=4 909.0s
    FiberSA it=4,300,000 T=1.17034 s=18 best=4 929.7s
    FiberSA it=4,400,000 T=1.15585 s=17 best=2 953.2s
    FiberSA it=4,500,000 T=1.14152 s=19 best=2 975.2s
    FiberSA it=4,600,000 T=1.12738 s=19 best=2 1002.7s
    FiberSA it=4,700,000 T=1.11343 s=29 best=2 1019.3s
    FiberSA it=4,800,000 T=1.09964 s=35 best=2 1047.1s
    FiberSA it=4,900,000 T=1.08601 s=26 best=2 1068.9s
    FiberSA it=5,000,000 T=1.07255 s=23 best=2 1095.6s
    FiberSA it=5,100,000 T=1.05926 s=23 best=2 1118.8s
    FiberSA it=5,200,000 T=1.04613 s=29 best=2 1140.9s
    FiberSA it=5,300,000 T=1.03319 s=20 best=2 1166.3s
    FiberSA it=5,400,000 T=1.02039 s=19 best=2 1190.3s
    FiberSA it=5,500,000 T=1.00777 s=26 best=2 1214.9s
    FiberSA it=5,600,000 T=0.99529 s=23 best=2 1234.3s
    FiberSA it=5,700,000 T=0.98295 s=20 best=2 1259.0s
    FiberSA it=5,800,000 T=0.97077 s=24 best=2 1277.1s
    FiberSA it=5,900,000 T=0.95875 s=19 best=2 1293.8s
    FiberSA it=6,000,000 T=0.94688 s=28 best=2 1313.6s
    FiberSA it=6,200,000 T=0.92358 s=19 best=2 1359.8s
    FiberSA it=6,300,000 T=0.91215 s=19 best=2 1382.1s
    FiberSA it=6,400,000 T=0.90085 s=23 best=2 1401.7s
    FiberSA it=6,500,000 T=0.88970 s=17 best=2 1425.4s
    FiberSA it=6,600,000 T=0.87869 s=29 best=2 1447.6s
    FiberSA it=6,700,000 T=0.86780 s=19 best=2 1473.0s
    FiberSA it=6,800,000 T=0.85704 s=21 best=2 1499.9s
    FiberSA it=6,900,000 T=0.84643 s=20 best=2 1525.8s
    FiberSA it=7,000,000 T=0.83595 s=20 best=2 1546.6s
    FiberSA it=7,100,000 T=0.82559 s=20 best=2 1574.3s
    FiberSA it=7,200,000 T=0.81537 s=24 best=2 1595.1s
    FiberSA it=7,300,000 T=0.80527 s=24 best=2 1613.2s
    FiberSA it=7,400,000 T=0.79530 s=33 best=2 1634.4s
    FiberSA it=7,500,000 T=0.78545 s=17 best=2 1652.5s
    FiberSA it=7,600,000 T=0.77572 s=38 best=2 1679.0s
    FiberSA it=7,700,000 T=0.76611 s=33 best=2 1703.1s
    FiberSA it=7,800,000 T=0.75664 s=25 best=2 1725.5s
    FiberSA it=7,900,000 T=0.74727 s=20 best=2 1748.2s
    FiberSA it=8,000,000 T=0.73802 s=28 best=2 1765.4s
    FiberSA it=8,100,000 T=0.72888 s=30 best=2 1782.6s
    FiberSA it=8,200,000 T=0.71985 s=24 best=2 1808.6s
    FiberSA it=8,300,000 T=0.71092 s=31 best=2 1837.4s
    FiberSA it=8,400,000 T=0.70211 s=27 best=2 1858.2s
    FiberSA it=8,500,000 T=0.69342 s=16 best=2 1875.2s
    FiberSA it=8,600,000 T=0.68483 s=16 best=2 1896.0s
    FiberSA it=8,700,000 T=0.67635 s=24 best=2 1917.1s
    FiberSA it=8,800,000 T=0.66797 s=19 best=2 1936.7s
    FiberSA it=8,900,000 T=0.65969 s=26 best=2 1961.1s
    FiberSA it=9,000,000 T=0.65151 s=20 best=2 1986.8s
    FiberSA it=9,100,000 T=0.64345 s=27 best=2 2008.7s
    FiberSA it=9,200,000 T=0.63548 s=17 best=2 2026.0s
    FiberSA it=9,300,000 T=0.62761 s=45 best=2 2047.7s
    FiberSA it=9,400,000 T=0.61984 s=24 best=2 2067.3s
    FiberSA it=9,500,000 T=0.61216 s=55 best=2 2090.2s
    FiberSA it=9,600,000 T=0.60458 s=32 best=2 2115.6s
    FiberSA it=9,700,000 T=0.59709 s=17 best=2 2139.0s
    FiberSA it=9,800,000 T=0.58969 s=33 best=2 2167.6s
    FiberSA it=9,900,000 T=0.58240 s=32 best=2 2189.8s
    FiberSA it=10,000,000 T=0.57519 s=19 best=2 2210.7s
    FiberSA it=10,100,000 T=0.56807 s=57 best=2 2230.2s
    FiberSA it=10,200,000 T=0.56103 s=28 best=2 2252.2s
    FiberSA it=10,300,000 T=0.55409 s=42 best=2 2276.0s
    FiberSA it=10,400,000 T=0.54722 s=17 best=2 2294.4s
    FiberSA it=10,500,000 T=0.54044 s=33 best=2 2315.6s
    FiberSA it=10,600,000 T=0.53375 s=18 best=2 2338.3s
    FiberSA it=10,700,000 T=0.52713 s=26 best=2 2361.3s
    FiberSA it=10,800,000 T=0.52060 s=16 best=2 2378.6s
    FiberSA it=10,900,000 T=0.51416 s=16 best=2 2396.5s
    FiberSA it=11,000,000 T=0.50779 s=44 best=2 2415.8s
    FiberSA it=11,100,000 T=0.50150 s=23 best=2 2434.3s
    FiberSA it=11,200,000 T=0.49529 s=19 best=2 2453.8s
    FiberSA it=11,300,000 T=0.48916 s=17 best=2 2476.5s
    FiberSA it=11,400,000 T=0.48310 s=22 best=2 2498.0s
    FiberSA it=11,500,000 T=0.47712 s=26 best=2 2514.7s
    FiberSA it=11,600,000 T=0.47121 s=18 best=2 2532.9s
    FiberSA it=11,700,000 T=0.46537 s=40 best=2 2554.9s
    FiberSA it=11,800,000 T=0.45960 s=19 best=2 2571.7s
    FiberSA it=11,900,000 T=0.45391 s=21 best=2 2588.6s
    FiberSA it=12,000,000 T=0.44828 s=23 best=2 2606.5s
    FiberSA it=12,100,000 T=0.44273 s=16 best=2 2625.2s
    FiberSA it=12,200,000 T=0.43725 s=31 best=2 2654.3s
    FiberSA it=12,300,000 T=0.43183 s=21 best=2 2675.8s
    FiberSA it=12,400,000 T=0.42649 s=16 best=2 2692.6s
    FiberSA it=12,600,000 T=0.41599 s=16 best=2 2750.8s
    FiberSA it=12,700,000 T=0.41084 s=27 best=2 2783.8s
    FiberSA it=12,800,000 T=0.40576 s=26 best=2 2807.4s
    FiberSA it=12,900,000 T=0.40073 s=16 best=2 2849.7s
    FiberSA it=13,000,000 T=0.39577 s=39 best=2 2881.1s
    FiberSA it=13,100,000 T=0.39086 s=18 best=2 2909.9s
    FiberSA it=13,200,000 T=0.38602 s=37 best=2 2949.5s
    FiberSA it=13,300,000 T=0.38124 s=28 best=2 2986.1s
    FiberSA it=13,400,000 T=0.37651 s=26 best=2 3012.8s
    FiberSA it=13,500,000 T=0.37185 s=17 best=2 3039.8s
    FiberSA it=13,600,000 T=0.36724 s=27 best=2 3077.2s
    FiberSA it=13,700,000 T=0.36269 s=16 best=2 3100.4s
    FiberSA it=13,800,000 T=0.35820 s=22 best=2 3126.3s
    FiberSA it=13,900,000 T=0.35376 s=30 best=2 3154.7s
    FiberSA it=14,000,000 T=0.34938 s=18 best=2 3182.3s
